category,model,r2,params
ALL,Exponential Plateau,0.9811508333235369,"[20.858582691357462, 0.04018746696578632, -14.173985553207746]"
CHUNK,Weibull Plateau,0.9444254806850734,"[9.648362801685026, 9.459667736572985, 1.6275912352153816, -3.7979371498574053]"
BYTE,Weibull Plateau,0.920559877547212,"[6.770496320591766, 6.697584958533975, 1.592508494663155, -0.6907393241281287]"
CHUNK,Hill Saturation,0.9620430735989073,"[13.981024993419114, 10.827737755043925, 1.441231602420045, -9.927133084529162]"
BYTE,Weibull Plateau,0.9632861216581305,"[6.03463872414586, 5.610862089991815, 1.4865421574179536, -1.8054235479143301]"
ALL,Exponential Plateau,0.9869755096599178,"[21.339983409634886, 0.03967508178184219, -16.815454012236323]"
CHUNK,Weibull Plateau,0.9764208376983764,"[5.700189770401966, 5.411023615779873, 1.5455204774732019, -0.7074469484004136]"
BYTE,Exponential Plateau,0.979530989513631,"[3.0832883899514116, 0.33047374053201584, 2.180996456169963]"
ALL,Weibull Plateau,0.9998514054446456,"[11.375219117399103, 12.880047682905303, 1.1029039776213028, -6.246851538954076]"
BLE,Hill Saturation,0.9620430735989073,"[13.981024993419114, 10.827737755043925, 1.441231602420045, -9.927133084529162]"
LORA,Weibull Plateau,0.9764208376983764,"[5.700189770401966, 5.411023615779873, 1.5455204774732019, -0.7074469484004136]"
WIFI,Weibull Plateau,0.9444254806850734,"[9.648362801685026, 9.459667736572985, 1.6275912352153816, -3.7979371498574053]"
BLE,Exponential Plateau,0.9869755096599178,"[21.339983409634886, 0.03967508178184219, -16.815454012236323]"
LORA,Weibull Plateau,0.9998514054446456,"[11.375219117399103, 12.880047682905303, 1.1029039776213028, -6.246851538954076]"
WIFI,Exponential Plateau,0.9811508333235369,"[20.858582691357462, 0.04018746696578632, -14.173985553207746]"
BLE,Weibull Plateau,0.9632861216581305,"[6.03463872414586, 5.610862089991815, 1.4865421574179536, -1.8054235479143301]"
LORA,Exponential Plateau,0.979530989513631,"[3.0832883899514116, 0.33047374053201584, 2.180996456169963]"
WIFI,Weibull Plateau,0.9205598765187053,"[6.770496317604147, 6.6975849622315415, 1.5925084964594078, -0.6907393242529913]"
